rank,prev_rank,name,league,off,def,spi
191,165,Nimes,French Ligue 1,1.41,1.2,50.68
192,200,Velez Sarsfield,Argentina Primera Division,1.19,0.97,50.63
193,189,Cardiff City,English League Championship,1.45,1.24,50.62
194,185,Nottingham Forest,English League Championship,1.31,1.1,50.55
195,181,Bahía,Brasileiro Série A,1.28,1.07,50.48
196,188,Racing Club,Argentina Primera Division,1.29,1.08,50.39
197,194,Stoke City,English League Championship,1.33,1.13,50.38
198,199,Preston North End,English League Championship,1.38,1.19,50.25
199,203,Bristol City,English League Championship,1.49,1.3,50.19
200,209,FC Utrecht,Dutch Eredivisie,1.61,1.42,50.12
201,198,León,Mexican Primera Division Torneo Apertura,1.53,1.34,50.12
202,201,Shandong Luneng,Chinese Super League,1.6,1.43,49.81
203,191,Ceará,Brasileiro Série A,1.25,1.07,49.77
204,196,Dinamo Moscow,Russian Premier Liga,1.13,0.97,49.16
205,204,Vitesse,Dutch Eredivisie,1.69,1.56,49.02
206,215,Millwall,English League Championship,1.32,1.18,49.01
207,231,Queens Park Rangers,English League Championship,1.42,1.28,48.88
208,205,Hamburg SV,German 2. Bundesliga,1.45,1.32,48.73
209,212,AIK,Swedish Allsvenskan,1.29,1.16,48.48
210,217,Girona FC,Spanish Segunda Division,1.41,1.3,48.28
211,219,Defensa y Justicia,Argentina Primera Division,1.18,1.06,48.25
